TIME;TIME;2012;2012;2012;2012;2012;2012;2012;2013;2013;2013;2013;2013;2013;2013;2014;2014;2014;2014;2014;2014;2014;2015;2015;2015;2015;2015;2015;2015;2016;2016;2016;2016;2016;2016;2016;2017;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2021
AIRPOL (Labels);AIRPOL (Labels);Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm;Carbon monoxide;Lead (Pb);Nitrogen oxides;Sulphur oxides;Ammonia;Particulates < 2.5µm;Particulates < 10µm
GEO (Labels);SRC_NFR (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belgium;Transport (fuel used);:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
Belgium;International aviation LTO (civil);1.053;0;1.538;93;:;11;14;1.030;0;1.489;90;:;11;14;1.061;0;1.576;94;:;11;15;1.188;0;1.704;101;:;12;15;1.316;0;1.697;99;:;12;15;1.192;0;1.853;107;:;13;17;1.264;0;1.985;113;:;14;17;1.230;0;2.032;113;:;13;17;658;0;1.289;66;:;8;10;843;0;1.603;82;:;10;12
Belgium;International aviation cruise (civil);35.387;0;16.421;931;:;152;152;22.271;0;15.296;869;:;137;137;25.304;0;16.379;921;:;143;143;29.253;0;17.671;986;:;152;152;43.846;0;17.478;953;:;146;146;40.040;0;19.627;1.060;:;162;162;8.236;0;22.317;1.181;:;183;183;4.809;0;22.922;1.205;:;186;186;36.724;0;15.700;846;:;136;136;44.159;0;17.506;954;:;154;154
Belgium;Domestic aviation LTO (civil);896;0;14;1;:;0;0;1.025;0;15;1;:;0;0;1.025;0;13;1;:;0;0;876;0;15;1;:;0;0;755;0;12;1;:;0;0;783;0;15;1;:;0;0;393;0;19;1;:;0;0;353;0;16;1;:;0;0;911;0;13;1;:;0;0;793;0;13;1;:;0;0
Belgium;Domestic aviation cruise (civil);350;0;31;2;:;0;0;866;0;28;2;:;0;0;1.085;0;22;2;:;0;0;641;0;24;2;:;0;0;247;0;19;2;:;0;0;246;0;18;2;:;0;0;215;0;21;2;:;0;0;189;0;20;1;:;0;0;153;0;14;1;:;0;0;157;0;10;1;:;0;0
Belgium;Road transport: passenger cars;41.984;0;49.466;68;903;1.918;1.918;38.613;0;46.796;65;816;1.611;1.611;35.004;0;46.071;63;803;1.343;1.343;36.668;0;46.977;66;812;1.240;1.240;37.381;0;44.382;45;823;1.027;1.027;35.918;0;40.698;47;811;825;825;37.436;0;35.640;59;840;638;638;40.200;0;31.814;55;877;503;503;31.966;0;22.468;45;703;318;318;39.896;0;23.645;51;880;311;311
Belgium;Road transport: light duty vehicles;6.095;0;12.207;14;24;663;663;5.271;0;12.413;14;24;558;558;4.820;0;13.524;14;26;485;485;4.690;0;15.110;15;28;448;448;4.388;0;16.259;9;32;401;401;3.848;0;16.496;11;39;332;332;3.501;0;16.120;14;48;265;265;3.280;0;15.935;14;55;218;218;2.698;0;14.198;13;57;162;162;2.954;0;16.154;16;72;164;164
Belgium;Road transport: heavy duty vehicles and buses;13.721;0;45.298;37;60;766;766;13.543;0;42.031;37;67;679;679;12.658;0;38.120;36;74;594;594;11.745;0;34.733;38;80;526;526;10.186;0;29.660;23;84;437;437;8.610;0;24.755;27;86;356;356;7.595;0;21.786;38;93;306;306;6.021;0;17.264;38;92;236;236;4.956;0;14.113;36;91;188;188;4.305;0;11.626;39;97;155;155
Belgium;Road transport: mopeds & motorcycles;12.574;0;409;0;3;37;37;10.905;0;375;0;3;33;33;10.323;0;368;0;3;31;31;9.537;0;352;0;3;28;28;8.273;0;322;1;3;24;24;7.380;0;309;0;3;22;22;7.051;0;302;1;3;21;21;6.626;0;283;0;3;20;20;5.264;0;237;0;2;16;16;5.725;0;258;0;3;16;16
Belgium;Road transport: gasoline evaporation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;Road transport: automobile tyre and brake wear;0;9;0;0;0;1.292;2.449;0;9;0;0;0;1.267;2.401;0;9;0;0;0;1.301;2.464;0;9;0;0;0;1.359;2.573;0;9;0;0;0;1.372;2.596;0;9;0;0;0;1.346;2.542;0;9;0;0;0;1.345;2.537;0;9;0;0;0;1.331;2.510;0;8;0;0;0;1.142;2.145;0;8;0;0;0;1.197;2.220
Belgium;Road transport: automobile road abrasion;0;:;0;0;0;580;1.074;0;:;0;0;0;572;1.059;0;:;0;0;0;587;1.086;0;:;0;0;0;613;1.135;0;:;0;0;0;619;1.146;0;:;0;0;0;607;1.125;0;:;0;0;0;611;1.131;0;:;0;0;0;603;1.117;0;:;0;0;0;525;972;0;:;0;0;0;585;1.083
Belgium;Railways;484;0;1.849;37;0;243;364;371;0;1.395;21;0;231;352;302;0;1.070;8;0;222;343;301;0;1.045;8;0;222;343;309;0;1.054;3;0;222;343;330;0;1.110;1;0;224;345;326;0;1.089;1;0;224;345;325;0;1.054;1;0;223;344;288;0;926;1;0;220;341;294;0;940;1;0;220;341
Belgium;International maritime navigation;4.192;0;17.820;3.689;3;643;679;3.983;0;16.918;3.539;3;613;648;3.977;0;16.767;3.565;3;615;649;4.034;0;16.848;571;3;517;546;4.194;0;16.967;600;3;537;567;4.212;0;16.419;604;3;538;568;4.296;0;16.167;619;3;551;581;4.272;0;15.546;618;3;550;580;3.885;0;13.624;559;3;505;533;4.009;0;13.386;577;3;520;549
Belgium;International inland waterways;571;0;2.889;581;0;78;82;673;0;3.361;513;1;86;91;622;0;3.040;307;1;79;83;581;0;2.776;99;0;67;71;506;0;2.299;86;0;58;61;521;0;2.252;89;0;59;62;507;0;2.076;87;0;57;60;466;0;1.809;80;0;52;55;462;0;1.687;79;0;51;54;486;0;1.674;83;0;53;56
Belgium;National navigation (shipping);715;0;4.515;36;1;117;125;661;0;4.228;35;1;108;115;641;0;4.119;34;1;104;111;623;0;4.002;32;1;101;107;629;0;4.031;4;1;101;107;628;0;4.081;4;1;100;107;614;0;3.975;4;1;97;103;575;0;3.663;4;1;89;95;561;0;3.570;4;1;86;92;582;0;3.677;4;1;88;94
Belgium;National total for the entire territory (based on fuel sold);343.222;35;220.113;47.451;73.554;24.969;33.782;514.247;32;210.581;43.039;72.788;25.488;34.608;320.479;29;200.344;40.746;71.192;20.798;29.655;369.507;36;200.733;41.034;71.773;22.008;31.017;353.874;33;188.819;34.062;71.974;21.747;31.112;287.604;31;177.488;32.500;70.210;19.988;29.328;334.050;19;170.235;31.920;69.683;18.841;28.315;367.838;21;158.542;29.651;68.371;18.248;27.438;274.084;17;139.238;24.007;68.028;16.583;25.513;289.816;16;142.104;23.431;67.514;18.163;27.450
Bulgaria;Transport (fuel used);:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
Bulgaria;International aviation LTO (civil);24.804;0;83;21;0;0;0;24.180;0;81;20;0;0;0;25.740;0;86;21;0;0;0;26.832;0;89;22;0;0;0;32.292;0;108;27;0;0;0;36.145;0;120;30;0;0;0;38.786;0;129;32;0;0;0;36.830;0;123;31;0;0;0;21.091;0;70;18;0;0;0;24.821;0;83;21;0;0;0
Bulgaria;International aviation cruise (civil);165.996;0;553;138;0;1;0;161.820;0;539;135;0;1;0;172.260;0;574;144;0;1;0;179.568;0;599;150;0;1;0;216.108;0;720;180;0;2;0;241.896;0;806;202;0;2;0;259.565;0;865;216;0;2;0;241.436;0;805;201;0;2;0;139.443;0;465;116;0;1;0;166.112;0;554;138;0;1;0
Bulgaria;Domestic aviation LTO (civil);5.160;1;17;4;:;0;0;5.556;1;19;5;:;0;0;4.368;1;15;4;:;0;0;5.952;1;20;5;:;0;0;7.524;1;25;6;:;0;0;8.308;0;28;7;:;0;0;7.045;0;23;6;:;0;0;4.566;0;15;4;:;0;0;3.386;0;11;3;:;0;0;2.132;0;7;2;:;0;0
Bulgaria;Domestic aviation cruise (civil);8.040;:;27;7;:;0;0;8.844;:;29;7;:;0;0;6.432;:;21;5;:;0;0;9.648;:;32;8;:;0;0;15.276;:;51;13;:;0;0;15.751;:;53;13;:;0;0;13.365;:;45;11;:;0;0;5.425;:;18;5;:;0;0;2.902;:;10;2;:;0;0;3.763;:;13;3;:;0;0
Bulgaria;Road transport: passenger cars;71.245;0;18.937;31;740;1.267;1.267;60.903;0;17.042;18;692;1.068;1.068;66.030;0;18.716;20;799;1.181;1.181;65.677;0;19.918;20;834;1.279;1.279;60.740;0;19.334;21;811;1.221;1.221;54.792;0;17.997;23;745;1.120;1.120;47.770;0;17.646;23;683;1.105;1.105;43.485;0;17.698;24;657;1.097;1.097;38.906;0;16.210;22;618;973;973;40.712;0;17.177;23;645;1.050;1.050
Bulgaria;Road transport: light duty vehicles;6.508;0;5.520;6;25;541;541;5.118;0;4.758;5;21;434;434;5.523;0;5.441;6;26;452;452;5.569;0;6.222;6;29;470;470;4.778;0;6.288;6;28;426;426;4.298;0;6.308;7;29;369;369;4.015;0;6.772;7;31;351;351;3.821;0;7.231;7;32;330;330;3.685;0;6.891;6;33;290;290;4.139;0;7.454;7;37;318;318
Bulgaria;Road transport: heavy duty vehicles and buses;4.659;0;18.642;9;11;506;506;3.876;0;15.421;9;10;405;405;4.149;0;16.388;9;12;418;418;4.440;0;17.432;9;14;434;434;4.173;0;16.399;9;15;389;389;3.849;0;15.101;9;16;335;335;3.777;0;14.844;10;17;318;318;3.787;0;14.661;10;19;303;303;3.374;0;12.889;8;18;261;261;3.475;0;13.381;8;18;269;269
Bulgaria;Road transport: mopeds & motorcycles;2.433;0;45;0;0;9;9;2.036;0;38;0;0;8;8;2.426;0;47;0;0;9;9;2.583;0;51;0;0;10;10;2.627;0;53;0;0;10;10;3.133;0;65;0;1;11;11;3.093;0;66;0;1;11;11;3.159;0;68;0;1;11;11;3.321;0;74;0;1;11;11;3.966;0;89;0;1;13;13
Bulgaria;Road transport: gasoline evaporation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bulgaria;Road transport: automobile tyre and brake wear;0;3;0;0;0;450;878;0;3;0;0;0;407;794;0;4;0;0;0;463;903;0;4;0;0;0;518;1.010;0;4;0;0;0;531;1.035;0;4;0;0;0;538;1.048;0;4;0;0;0;556;1.083;0;4;0;0;0;581;1.132;0;4;0;0;0;552;1.076;0;5;0;0;0;589;1.147
Bulgaria;Road transport: automobile road abrasion;0;:;0;0;0;188;347;0;:;0;0;0;168;312;0;:;0;0;0;191;353;0;:;0;0;0;213;395;0;:;0;0;0;218;404;0;:;0;0;0;220;408;0;:;0;0;0;228;422;0;:;0;0;0;238;440;0;:;0;0;0;224;416;0;:;0;0;0;238;441
Bulgaria;Railways;235;0;1.153;0;0;30;32;161;0;786;0;0;21;22;128;0;629;0;0;16;17;171;0;838;0;0;22;23;139;0;681;0;0;18;19;143;0;703;0;0;18;19;118;0;577;0;0;15;16;107;0;526;0;0;14;14;118;0;577;0;0;15;16;110;0;536;0;0;14;15
Bulgaria;International maritime navigation;:;:;:;:;0;:;:;:;:;:;:;0;:;:;:;:;:;:;0;:;:;:;:;:;:;0;:;:;:;:;:;:;0;:;:;:;:;:;:;0;:;:;:;:;:;:;0;:;:;:;:;:;:;0;:;:;:;:;:;:;0;:;:;:;:;:;:;0;:;:
Bulgaria;International inland waterways;454;0;4.827;1.226;0;166;181;656;0;6.988;1.774;0;254;279;586;0;6.242;1.585;0;220;241;620;0;6.590;1.675;0;205;224;560;0;5.954;1.513;0;186;203;580;0;6.177;1.569;0;209;229;600;0;6.380;1.620;0;220;240;557;0;5.926;1.507;0;176;192;623;0;6.618;1.683;0;184;201;631;0;6.714;1.705;0;230;252
Bulgaria;National navigation (shipping);20;0;213;54;0;4;4;17;0;180;46;0;3;3;20;0;216;55;0;4;4;24;0;256;65;0;5;5;17;0;185;47;0;3;4;16;0;165;42;0;3;3;12;0;128;33;0;2;2;15;0;162;41;0;3;3;12;0;122;31;0;2;2;12;0;122;31;0;2;2
